Date	Newspaper	Article	Valence	Date_parsed
December 5, 2015 Saturday  Comunidad Valenciana Edición	El Pais	16.00 Cine. 'Un Santa Claus especial'. Jen, una madre soltera que trabaja como periodista, no cree en la Navidad, hasta que conoce a Chris, que hace el papel de Santa Claus en un centro comercial. 17.45 ¡Qué tiempo tan feliz! El programa recibirá a Pedro Sánchez, secretario general del PSOE, que desvelará en una entrevista su faceta más personal. Presentado por María Teresa Campos. 22.00 Cine 5 estrellas. 'Oz, un mundo de fantasía'. Estreno. Oscar, un mago de circo sin reputación, tiene que abandonar la polvorienta Kansas y trasladarse al brillante País de Oz. En su camino se interponen tres brujas muy diferentes. (7). 0.30 Cine. 'Hermosas criaturas'. El hastío domina la vida de Ethan Wate, un chico que vive en un pueblo perdido del sur de Estados Unidos. (7).		
December 6, 2015 Sunday  Nacional Edición	El Pais	"Más de tres millones de personas siguieron el debate electoral que EL PAÍS organizó el pasado lunes con tres de los principales candidatos a la presidencia del Gobierno. La cita del debate congregó en Internet a 907.000 espectadores digitales -aunque otros cientos de miles accedieron posteriormente-, según los datos recopilados por este periódico; a más de 1,5 millones de televidentes; y a más de 682.000 oyentes en la radio. El alcance en las redes sociales, donde el debate fue tendencia mundial, superó los 36 millones de personas. A las nueve de la noche del pasado lunes, el periodismo digital marcó un hito en España. Por primera vez, un diario organizó un debate electoral con los principales candidatos a La Moncloa pensado para su difusión por Internet y las redes sociales. Más de tres millones de personas siguieron a través de la web de EL PAÍS, de otros sites, de la radio y de la televisión una cita electoral que enfrentó a Pedro Sánchez, Pablo Iglesias y Albert Rivera, líderes del PSOE, Podemos y Ciudadanos, respectivamente. Mariano Rajoy, cabeza de lista del PP, prefirió dejar el atril vacío y alegó ""labores de Gobierno"", aunque acudió a una entrevista en televisión a la misma hora.  El director de EL PAÍS, Antonio Caño, destaca el éxito de este ""formato innovador"" con el que el periódico profundiza en su apuesta por la información multimedia y con el que se consigue alcanzar una mayor cifra de público. ""Se dirige a un público nuevo que no ve de forma habitual la televisión ni lee los periódicos, sino que consume información a través de las redes sociales"", detalla Caño. El enlace al debate, que todavía está accesible desde la web de EL PAÍS, sigue recibiendo audiencia hasta hoy en número de varias decenas de miles por día. El debate electoral resultó también una innovadora apuesta desde el punto de vista de la narrativa digital, ya que combinó un modelo de producción similar al de una emisión en televisión con una distribución orientada a los canales online. ""Se inventó un formato nuevo"", sentencia Noemí Ramírez, directora de Desarrollo Digital de EL PAÍS, que explica el éxito del proyecto gracias al ""modelo de distribución en abierto"" aplicado. La señal se ofreció a 41 grupos de comunicación diferentes; muchos de los cuales, como el Grupo Forta y Joly, agrupan a varios medios informativos. Los canales de televisión 13 TV e Intereconomía la emitieron en directo, así como la cadena SER. Además, 22 fotógrafos, 47 redactores y 16 cámaras de 35 medios de comunicación distintos cubrieron la cita desde el plató montado en Boadilla del Monte (Madrid). ""Creamos un contenido propio e hicimos una narración al minuto que captó la atención de todo tipo de perfiles en las redes sociales"", añade Guiomar del Ser, responsable de Redes Sociales de EL PAÍS. El hashtag #ELPAÍSDebate se convirtió en trending topic mundial en Twitter, donde se generaron más de 300.000 tuits durante la noche (frente a los 20.000 de la entrevista a Rajoy a la misma hora en Telecinco). Una cifra que se eleva hasta los 486.196 tuits sumando las menciones a los tres candidatos participantes y al moderador, Carlos de Vega, según las métricas de Twitter en España. El alcance en las redes sociales se acercó a los 11 millones de personas durante la emisión del debate, y otros 26 millones en las horas previas y posteriores. El director del debate, Javier Ayuso, asegura que los políticos vieron esta cita como una ""gran oportunidad"": ""Comprendieron que era un formato innovador con el que podían llegar a un tipo de público que no suele estar en televisión: un público joven, que sigue las redes sociales y muchos que van a votar por primera vez"". La audiencia digital se concentró en España (83%), pero tuvo un impacto global. Lectores de 190 países escucharon las propuestas de los candidatos. Además, fue una cita que causó una importante expectación en Latinoamérica (con el 9% de la audiencia), Estados Unidos (2%) y Europa (5%), donde está una buena parte de los emigrantes españoles. El 71% del público siguió el debate a través de sus ordenadores y un 29% a través de móviles y tabletas."		
December 6, 2015 Sunday  Andalucía Edición	El Pais	A través del luminoso de Schweppes de la plaza del Callao, de Madrid, el protagonista de El día de la bestia escapaba del maligno descrito en el Apocalipsis y que debía nacer el 25 de diciembre de 1995 para anticipar el fin del mundo. Veinte años menos cinco días después, Pedro Sánchez intenta escapar de su propio apocalipsis con una campaña basada en su imagen, la invocación del voto útil y el recuerdo de lo que hizo el PSOE en el Gobierno. Frente al luminoso de la tónica está la sede de los socialistas madrileños y el despacho cuya cerradura Sánchez mandó cambiar para dejar fuera a Tomás Gómez. Esa arriesgada decisión y otras como su política de fichajes se juzgan el 20-D para que el fin del mundo sea para otro. 		
December 7, 2015 Monday  2ª Ed. Barna Edición	El Pais	"Yo tengo dos campañas: en las 52 circunscripciones y en los platós de televisión, comentó ayer Pedro Sánchez. Los demás, tienen menos que hacer porque sus organizaciones no están representadas en toda España o porque, como Rajoy, no participa en los debates. El candidato socialista presume de la implantación de su partido en toda España. Sánchez cuenta con la red de alcaldes, concejales y militantes para complementar la campaña, sin desdeñar la trascendencia de los debates en televisión y la asistencia a programas de todo tipo. En esta campaña Sánchez dice que solo PP y PSOE se juegan ""la primera plaza"". Podemos y Ciudadanos van a por ""la medalla de bronce"", asevera "		
December 7, 2015 Monday  2ª Ed. Madrid Edición	El Pais	"En este momento en el que hay un jaque a la democracia española en Cataluña, es importante recalcar que tenemos que estar juntos, que se puede dialogar con aquellos que están dentro del marco constitucional. Fuera de la Constitución no hay democracia posible, no hay diálogo posible, enfatizó Albert Rivera en su primera declaración como presidente de Ciudadanos en el Congreso. Y recalcó: ""En este momento en el que unos quieren romper nuestra Constitución y nuestro país, los que queremos seguir conviviendo tenemos que reformar nuestras instituciones, no para contentar a los que quieren romper España, sino a la mayoría"".  Rivera habló en Madrid, a unos pocos metros del corazón del Congreso, el hemiciclo. Pero su discurso estuvo lleno de referencias a Cataluña. Según la formación emergente, no hay mejor antídoto frente al independentismo que una reforma de las instituciones ""para que España funcione mejor"" y de la Constitución de 1978, cuyo legado defiende. Ciudadanos quiere suprimir el Senado; cambiar la ley electoral; y clarificar las competencias autonómicas, blindando las del Estado. La defensa de la Constitución que hizo Rivera incluyó una dura referencia a Pablo Iglesias, ya por la tarde, durante un mitin en Barcelona. ""Nosotros no podemos ir en la misma lista que Bildu-Amaiur. ¿Se acuerdan de la escena de un señor rompiendo la Constitución con una estelada?"", preguntó al público en referencia al diputado Sabino Cuadra, que arrancó páginas de un ejemplar de la Ley Fundamental desde la tribuna del Congreso el pasado septiembre. ""Esos son los socios del señor Iglesias"", dijo, apoyándose en el pacto alcanzado por Podemos y Bildu en Navarra para las listas al Senado. Pablo Iglesias, por su parte, reconoció en los pasillos del Congreso los logros del acuerdo de convivencia de la Transición pero reclamó cambios de calado en la Constitución, entre ellos blindar el derecho a ""decidir"" para que las comunidades puedan convocar referendos de independencia vinculantes. A su llegada al Congreso, el líder de Podemos dio la Constitución por superada. ""Gracias, 1978. Hola, 2016"", resumió sobre un texto que en su artículo 1 establece que la soberanía es de todo el pueblo español. ""Los cambios que ya son una realidad en la sociedad se tienen que plasmar en una nueva Constitución"", afirmó. Iglesias reservó la defensa de esa reforma para un acto celebrado por la tarde en el que participaron de forma simultánea desde varias ciudades la catalana Ada Colau, la valenciana Mònica Oltra, la canaria Victoria Rosell y el gallego Xosé Manuel Beiras. Allí se mostró rotundo en la defensa de su estrategia. ""Ese país de países es lo que queremos construir"", dijo. ""Me decía el otro día Pedro Sánchez que eso de la autodeterminación era una cosa de la URSS. No, Pedro, no. Lo llevaba el PSOE en su programa en 1977"". Beiras, portavoz de Anova, fue el encargado de la ponencia de Podemos sobre el encaje territorial. ""El pueblo gallego es una nación. El pueblo euskaldún, el pueblo catalán, el pueblo valenciano"", enumeró. ""Es necesario que ajustemos la superestructura del edificio institucional de Estado a la realidad sociopolítica de la sociedad civil. La soberanía reside en los ciudadanos, y evidentemente esa ciudadanía tiene que decidir democráticamente y pacíficamente qué opción escoge""."		
December 8, 2015 Tuesday  2ª Ed. Madrid Edición	El Pais	"La primera defensa que tuvo que afrontar Soraya Sáenz de Santamaría anoche, en el debate a cuatro de Atresmedia, fue su propia presencia y llevaba esa lección muy aprendida sin necesidad de soltar una ristra de datos y números sobre las políticas aplicadas por el Gobierno estos cuatro años como hizo durante todo el programa: ""El PP es un equipo amplio que trabaja para los españoles con un líder seguro, que tiene un número dos y un equipo de gobierno fuerte y de responsabilidad compartida. Somos un proyecto compacto, no personalista o unipersonal. Somos un partido de equipo, experiencia y de ideas. Cualquiera de este equipo puede venir aquí. Por eso estoy aquí"".  Luego precisó que el candidato real del PP, Mariano Rajoy, que estaba siguiendo el debate desde Doñana con su familia, sí discutirá cara a cara con el líder de la oposición, el socialista Pedro Sánchez. ""Somos muchos"", incidió. La ausencia premeditada de Rajoy facilitó la munición a sus rivales del 20-D. La vicepresidenta, quien aludió a sus contrincantes varias veces como ""estos señores"", tampoco digirió bien las constantes referencias del líder de Podemos, Pablo Iglesias, a la ""señora Soraya, aspirante a otra cosa"" o las calculadas alusiones del candidato de Ciudadanos, Albert Rivera, a su ""elegancia"" por no hacer mella con esa vacante. Santamaría comentó que, aunque les pareciera poco su figura de vicepresidenta era bastante más que la de los políticos emergentes, ""que aún no tienen ni escaño"". En la primera parte del debate, Santamaría pareció más a la defensiva, armada siempre de estadísticas y miles de millones invertidos para salvar a España del marasmo en que cree que el PSOE dejó al país. Luego, cuando quiso retomar la iniciativa, rescató los viejos métodos, sobre todo cuando le espetó a Iglesias: ""Paga Monedero"". Y, al final, fue la que más minutos habló de todos."		
January 12, 2016 Tuesday  Andalucía Edición	El Pais	"El candidato del PSOE a la presidencia del Gobierno, Pedro Sánchez, está convencido de que le une más de lo que le separa con Podemos y a Ciudadanos. Con esta visión, va a hacer todo lo que esté en su mano para llegar a un acuerdo con los emergentes que le lleve a La Moncloa, sobre la base de un programa de reformas socioeconómicas y regeneración democrática. No buscará el apoyo de los partidos independentistas.  Desde las elecciones del 20-D Sánchez nunca había expuesto con tanta claridad sus preferencias de pacto para formar una mayoría parlamentaria que le permita presidir España. Podemos y Ciudadanos son las fuerzas políticas que, según Sánchez, comparten con el PSOE una visión de los cambios y del proyecto reformista que necesita el país. Las propuestas en serio se formularán si Rajoy fracasa en su intento de reunir una mayoría parlamentaria. El equipo de Sánchez constata que hay diferencias notables pero también campo para el entendimiento con los partidos de Pablo Iglesias y Albert Rivera. Se refieren al catálogo de reformas avalado por el Comité Federal del PSOE el pasado 28 de diciembre. ""No ponemos líneas rojas sino puentes para entendernos sobre una hoja de ruta social, económica y de reformas y transformaciones que pueden compartir Podemos y Ciudadanos"", explicó ayer Sánchez tras la reunión de la ejecutiva federal. En la misma se estudió la situación creada tras el acuerdo de gobierno en Cataluña y se aprobaron los nombres que el PSOE propondrá para las Mesas del Congreso y del Senado, con Patxi López, y Joan Lerma, para presidir respectivamente esas instituciones. Sánchez no hizo ni una observación sobre lo que separa al PSOE de Podemos y Ciudadanos. ""Nos une el cambio progresista para nuestro país; un cambio que reconstruya el Estado de Bienestar y ponga fin a la fractura de convivencia que hay en Cataluña"". Aún resuenan las calificaciones que el dirigente socialista lanzó a Ciudadanos, como ""las Nuevas Generaciones del PP"" o ""la otra derecha"". ""Con Ciudadanos hay elementos de discordia en la política económica por sus postulados liberales pero compartimos proyectos de regeneración democrática y eficiencia del Estado"", marcó el político socialista. De Podemos destacó las coincidencias sobre la reconstrucción del Estado de Bienestar y obvió el gran escollo: la celebración de un referéndum en Cataluña, aunque Iglesias proclame que su campaña sería en contra de la independencia, informa Francesco Manetto. En estos momentos, Podemos no está dispuesto a aparcar la defensa del referéndum. Muy estudiado tiene el PSOE el programa de Podemos en materia socioeconómica y de libertades y su contenido les anima ya que no es muy diferente del programa electoral que defendió Pedro Sánchez. Tampoco se les antoja imposible con Ciudadanos pero no es esto lo que opinan en ese partido. Un acuerdo con Podemos y el PSOE les parece ""prácticamente imposible"", dijo ayer el vicesecretario general de Ciudadanos, José Manuel Villegas. No por el PSOE sino por Podemos, informa Juan José Mateo. Además de las consultas de autodeterminación, discrepan en el modelo económico por las propuestas estatales del partido de Iglesias."		
December 9, 2015 Wednesday  2ª Ed. Barna Edición	El Pais	6.30 Telediario matinal. Invitado: Pedro Sánchez, candidato del PSOE a la presidencia del Gobierno. (SS).  16.25 Acacias, 38. Leandro y Juliana se ofrecen a ayudar a Felipe para sacar a Germán de la cárcel y darle apoyo a Manuela en su encierro con Justo. (7). 18.20 Centro médico. Docuficción basada en un exitoso formato internacional que recrea cada día dos historias basadas en casos clínicos reales, curiosos y atractivos. (SS. 7). 0.15 El debate de La 1. Llega la primera gran cita de la campaña electoral en RTVE con el debate más plural entre los partidos con grupo parlamentario propio y los que según los sondeos aspiran a ser tercera y cuarta fuerza política. (SS).		
December 9, 2015 Wednesday  Comunidad Valenciana Edición	El Pais	"En el debate al que tampoco fue Mariano Rajoy corrió el riesgo de que al final no se supiera bien quién es el número dos de quién. En un debate de números doses Soraya Sáenz de Santamaría parecería fuera de sitio, pero quizá Rajoy se sentiría más a gusto y no se iría a Doñana a verlo por la tele. Hay cosas que las tiene que explicar un presidente y no puede enviar a un propio. Soraya dio siempre la sensación de estar ahí haciendo lo que podía, no lo que debía, porque no debía estar allí. La ausencia de Rajoy pronto quedó reducida a chiste. Media España reía y Soraya solo podía poner cara de palo.  La ausencia de Rajoy llenó el estudio al salir la corrupción. ""¡Alusiones al PP!"", clamaban los moderadores -como para no-, mientras Pablo Iglesias, Albert Rivera y Pedro Sánchez atacaban con dureza. Soraya estaba de piedra. Rivera le dio la puntilla: ""Ha venido a defender lo que Rajoy no se atrevía a defender; tiene valor y se lo reconozco"". Soraya, ni pío. Algo tenía que haber dicho. Cabrearse, negarlo, defender al jefe, que estaría gritando a la tele: ""¡Soraya, di algo, defiéndeme!"". Aunque a lo mejor tuvieron que llamarle porque estaban hablando de él en la tele. Eran muchas alusiones. Ese fue el momento culminante de un debate denso, a veces demasiado por la profusión de datos, e interesante. Todos se contenían para no interrumpirse, una novedad en la televisión española. Mejor no acostumbrarse. Iglesias y Rivera tenían al alcance de colleja a los guardianes de sus comederos de votos, y lo cierto es que Rivera estuvo mejor que Santamaría e Iglesias, mejor que Sánchez. Soraya confesó que le dan miedo los tripartitos. Ya Rajoy dijo que un pacto de PSOE, Ciudadanos y Podemos era lo peor. Lo peor fue que él no estuviera allí para enfrentarse a eso que es tan malo, o demostrarlo si fuera el caso."		
December 10, 2015 Thursday  2ª Ed. Madrid Edición	El Pais	"Aunque el PP mantenga que su único rival es el de siempre, el PSOE, y que ""lo importante"" es el debate con Pedro Sánchez del próximo lunes, en el partido saben que quien les muerde votos es Ciudadanos y ahí están centrando sus ataques, porque la indecisión, que es donde habitan los descontentos con el bipartidismo, supera el 40%, y porque su electorado no duda entre Rajoy o Sánchez, sino entre Rajoy o Albert Rivera.  El candidato del PP, que dice haberse guardado algún anuncio para los próximos días, nunca cita a Rivera por su nombre, pero es, sobre todo, al líder de Ciudadanos al que se refiere cuando habla de los ""experimentos"" y de esos partidos nacidos ""hace un cuarto de hora"" en los que solo se conoce a una persona: el líder. El PP centra su estrategia en la formación de Rivera, frenando la fuga, con una ""plataforma de conversión"" presentada por el vicesecretario Javier Maroto el lunes y tratando de dirigir a los indecisos con un comparador de programas, que confronta propuestas de seis partidos. La popular Andrea Levy lo presentó ayer y se dirigió sobre todo a uno: ""Votar al PP y Ciudadanos no es lo mismo. ¿Quién es su número dos? Debería saber el señor Rivera que no se puede sentar en todas las sillas del Consejo de Ministros""."		
