Date	Newspaper	Article	Valence	Date_parsed
December 21, 2015 Monday  Nacional Edición	El Pais	Hemos llegado a una situación inédita en España. Eso en sí no es ni bueno ni malo, pero sí muy interesante para cualquiera que disfrute mirando la política. Y se trata de la posibilidad de que dos o más formaciones acuerden o bien montar Gobiernos conjuntos, o bien llegar a pactos de legislatura que den estabilidad parlamentaria.  Bueno, el experimento sí se ha dado en Gobiernos autónomos, como es el caso de Euskadi o el de Cataluña, este último con todas las variantes posibles menos la de nacionalistas-no nacionalistas, que allí mezclan como el agua y el aceite. Pero hoy dejaremos este turbio asunto para entrar en otra carnicería distinta. Consiste en buscar los acuerdos posibles entre fuerzas que puedan sumar votos de forma natural. Y si no tenemos la pulsión patriótica como motivo de política de largo (en teoría) nos queda volver la cara al viejo Marx y ver las cosas desde el punto de vista de las clases sociales, que en román paladino se definen en la relación que cada partido guarda con lo que antes se llamaba claramente izquierda y derecha. También, por supuesto, la colaboración entre partidos distintos que defienden los mismos intereses a largo plazo. Hay una fuerza que merece un buen estudio que es Ciudadanos. Su presidente, Albert Rivera, ha decidido en esta campaña darnos alguna pista: ha declarado que es un partido de centro y lo ha ejemplificado diciendo que puede pactar a derecha o a izquierda, es decir, con el PP o con el PSOE. Eso es mucho informar, y es de agradecer, pero nos lleva a pensar que se trata de una formación de derechas cuyo talante suavizaría las asperezas de un PP autoritario y la falta de modales en el trato con reglamentos mínimos de la ética, al menos de la económica. Ahora tenemos un caso concreto para exigir que, pacte con quien pacte, Ciudadanos dé un buen ejemplo de cómo hay que hacer las cosas cuando se mezclan economía y política, interés privado y público. Abengoa, una empresa por la que mataría cualquier país ahora que se ha votado combatir el cambio climático, se puede morir como Caja Madrid. Hay que meter en la cárcel a Benjumea y Sánchez, pero ¿qué hacemos con la política energética?		2015-12-21
December 21, 2015 Monday  Andalucía Edición	El Pais	"El PP ganó las elecciones generales pero con el 99,55% escrutado lograba 123 escaños, quedando muy lejos de la mayoría absoluta de 176. Ni siquiera una alianza con Ciudadanos, que obtenía 40 escaños, le permite a Mariano Rajoy mantener la presidencia. El presidente reconoció desde Génova la dificultad de formar Gobierno. ""No será fácil"", reconoció. El PSOE, segundo con 90 escaños y el 22,02% de los votos, podría llegar a lograr la presidencia con el apoyo de las demás fuerzas de izquierdas, como Podemos e IU, y nacionalistas, como el PNV o ERC. Pedro Sánchez insistió desde Ferraz en que ""España quiere izquierda, quiere cambio"". Desde Podemos, que confirmó las expectativas del final de campaña con 69 escaños y un 20,65% de los votos, su líder, Pablo Iglesias, advirtió de que los españoles han votado ""un cambio de sistema inaplazable"". Pese al mal resultado de Ciudadanos, cuarta fuerza con 40 escaños y el 13,93% del voto, Albert Rivera reivindicó a su partido: ""Somos más necesarios que nunca"". "		2015-12-21
December 21, 2015 Monday  1ª Ed. Barna Edición	El Pais	El área metropolitana ha vuelto a cambiar de color. El cinturón rojo, dominado tradicionalmente por el Partit dels Socialistes (PSC) se convirtió en el cinturón naranja en las elecciones autonómicas del 27-S, que dieron la primacía a Ciudadanos. Pero esa hegemonía ha sido breve. Las elecciones generales de ayer han dado paso a los tonos morados de En Comú Podem, que se ha impuesto con comodidad. La candidatura que encabeza Xavier Domènech ha cosechado en la provincia nueve de los 12 escaños logrados en Cataluña. La alta participación en las áreas urbanas de Barcelona y el tirón de la alcaldesa de la capital, Ada Colau, han impulsado a En Comú Podem.  La formación morada se impuso con holgura en la gran mayoría de municipios del área metropolitana acompañada, como segunda fuerza política, por el PSC. El patrón se ha repetido en Badalona (30% para Comú Podem, 20% para el PSC), L'Hospitalet (30-25%), Santa Coloma de Gramenet (31-28) o Cornellà (32-26%). Pero también, en las localidades más pobladas de la segunda corona metropolitana; entre otras, Mataró (23-17%), Sabadell (28-18) o Terrassa (28-17%). Con su propuesta de celebrar un referéndum en Cataluña, En Comú Podem se ha impuesto incluso en municipios de gran arraigo independentista como Cardedéu (24%). Ciudadanos, en cambio, ha sufrido un duro revés en relación con las últimas elecciones autonómicas: el partido de Albert Rivera ha quedado relegado a tercera fuerza los municipios más populosos del área metropolitana y a la cuarta posición (con el 13,56% de los votos) en la provincia, por detrás de Esquerra Republicana.		2015-12-21
December 21, 2015 Monday  1ª Ed. Barna Edición	El Pais	En Cataluña ganó la izquierda, pero esta vez los primeros no ha sido la encarnada por el PSC, como siempre excepto en 2011, sino por la reagrupada en torno a Podemos. Es la segunda vez que la izquierda gana en poco tiempo, y como que la primera fue en las municipales de mayo, hace tan solo siete meses, el voto de ayer tiene un marcado carácter de ratificación. Se ha certificado que la fórmula de En Comú Podem es buena, que funciona la unión de Iniciativa Verds y Esquerra Unida con la nueva izquierda surgida de las plazas en el movimiento del 15-M y de las luchas contra los recortes sociales y laborales. También es, claramente, la ratificación de un nuevo liderazgo en Cataluña, el de la alcaldesa de Barcelona, Ada Colau, una figura potente de la que, vista la capacidad de arrastre demostrada en las dos elecciones en las que se ha implicado, cabe esperar mucho. Ella se alza como la apuesta de futuro.  Esta victoria de la izquierda se ha producido de una forma que solo puede interpretarse como un castigo al partido que ha gobernado España desde 2011, el PP de Mariano Rajoy, que ha perdido aquí más de la mitad de los diputados obtenidos hace cuatro años. Al mismo tiempo, tan significativo como esta derrota ha resultado ser el fuerte descenso sufrido por la fuerza gobernante en el Palacio de la Generalitat, aunque sea en funciones, el partido de Artur Mas. La nueva marca electoral de la vieja Convergència, Democràcia i Llibertat (DiL), ha quedado relegada al cuarto puesto cuatro años después de que CiU arrebatara al PSC la condición de fuerza ganadora de las elecciones legislativas en Cataluña. El consuelo de Miquel Iceta es que, al menos esta vez, el PSC ha quedado bastante por delante de Ciudadanos. Es inequívoco el castigo de los electores al partido de Artur Mas. Como en el caso del PP, se hace difícil deslindar en un primer momento cuál de los varios motivos de castigo es más relevante o ha pesado más en la voluntad de los electores que han decidido abandonarle. ¿Las prácticas fiscales de los Pujol, que han arruinado el crédito moral y político de la antigua CiU? ¿La aventura independentista y su insensato acercamiento a la desobediencia civil predicada por la CUP? ¿O las consecuencias de su entusiasta adhesión a las políticas neoliberales, a los recortes de salarios, derechos laborales, servicios sociales, etcétera? En el caso del PP de Mariano Rajoy está claro que las contrarreformas sociales y económicas pesan abrumadoramente, pero desde luego su pérdida de votos catalanes es también un castigo por la catarata de casos de corrupción que ha protagonizado. Quienes pierden son los partidos gobernantes, pero no está claro cuál es el futuro del nuevo mapa después de este terremoto electoral, el segundo desde mayo. La pugna entre DiL y Esquerra Republicana (ERC) por la hegemonía en el campo del independentismo, una pelea siempre subyacente en las relaciones entre ambas fuerzas, han quedado en tablas. Los resultados de ambos partidos están por debajo de los porcentajes que obtuvieron en las elecciones al Parlament del 27-S, hace tan solo tres meses. Lo normal sería que la reflexión sobre esa diferencia tuviera consecuencias. ¿Condenados a entenderse o condenados a separarse? Sumaron el 47,5% el 27-S. Ayer quedaron más de 15 puntos porcentuales por debajo de esta marca. Albert Rivera y sus Ciudadanos no han podido renovar la condición de segunda fuerza en Cataluña que alcanzaron en septiembre, y aunque esa no sea probablemente la principal de sus frustraciones de hoy, lo cierto es que su papel ha sido drásticamente redimensionado. Ganan lo que pierde el PP. En el debate abierto en España acerca de cómo abordar la crisis planteada por el independentismo catalán, la apuesta de Ciutadans es claramente subsidiaria del PP, la principal fuerza de la derecha y del nacionalismo español conservador. Esta vez, los electores no han querido otorgarles el protagonismo que les dieron el 27-S. Y en cambio se lo han dado a En Comú Podem, la única fuerza que propone la convocatoria de un referéndum sobre el futuro de la articulación política de Cataluña en España, acordado y legal. La propuesta rechazada siempre por el PP, ahora también por los independentistas y abandonada hace un año por los socialistas ha resultado ser la ganadora en Cataluña en estas elecciones.		2015-12-21
December 21, 2015 Monday  1ª Ed. Barna Edición	El Pais	"En Comú Podem logró anoche la victoria para la izquierda en Cataluña al ganar las elecciones con 12 de los 47 escaños en liza. El resultado lleva la indiscutible firma de Ada Colau, que catapultó la candidatura de confluencia sellando una alianza con Pablo Iglesias. Con su triunfo, la alcaldesa de Barcelona se ha erigido simbólicamente en la líder de la izquierda en Cataluña con su apuesta por las políticas sociales y el referéndum soberanista. ""¡Grandísimo orgullo! Es la victoria de abajo y de la gente invisible"", exclamó, emocionada, Colau. La izquierda no independentista, que ha dado un giro copernicano a su triste papel el 27-S, ha cumplido sobradamente su objetivo de tener grupo propio y diputados en las cuatro provincias. ""Sois absolutamente mágicos. En solo dos meses, una nueva fuerza política ha ganado las elecciones"", clamó Xavier Domènech, el cabeza de lista, al recordar que cuando anunciaron su candidatura, los pronósticos les situaban en quinta posición. En medio de un clima de euforia en la Estació del Nord y de gritos de Sí se puede, Domènech -que se estrenaba en estos comicios- dijo ""bien alto y claro"" las tres premisas que se ha impuesto: ""El derecho a decidir absolutamente inalienable y ninguna persona, nunca más, sin casa, sin luz y sin cobertura social"".  Con un porcentaje del 24% del voto y cerca de un millón de votos -926.000- la realidad es que el proyecto le ha salido redondo a En Comú Podem, que ha logrado una carambola perfecta: 9 escaños por Barcelona y uno por cada provincia. Tras imponer en la campaña el eje derecha-izquierda y arriconar la dinámica plebiscitaria del 27-S, la lista de izquierda se ha convertido en la primera fuerza de Cataluña desbancando a Convergència i Unió, que ganó en 2011. Y ha ganado su particular pulso con Ciudadanos, cuestionando el papel de líder de la oposición que la formación de Albert Rivera logró en las autonómicas. ""Ciutadans, el partido de los bancos, se ha topado con nosotros"", subrayó el diputado electo. En apenas seis meses, Colau celebró ayer su segunda victoria en su corta carrera política al retomar el hilo conductor que la aupó a la alcaldía el 24 de mayo. ""¡Vamos a hacer una revolución democrática y poner la política patas arriba! Hemos sacado mejores resultados que en mayo y sin el apoyo de ningún puñetero poder fáctico"", alardeó Colau. A diferencia del 27-S -cuando desapareció de la campaña de Catalunya Sí que es Pot-, la alcaldesa se ha implicado de lleno en estos comicios. La Barcelona en Comú de Colau es el corazón de esta lista y ha dado con la tecla justa. Manda sin duda Colau y dos razones explican el vuelco respecto al 27-S: su compromiso y su alianza con Iglesias. El líder de Podemos ha ido esta vez con pies de plomo: ha evitado patinazos y apostado, sin paliativos, por el referéndum. Iglesias se comprometió en campaña a que lo impondrá como condición para votar la investidura del presidente del Gobierno. Con la bandera del derecho a decidir, que se refuerza en este 20-D en detrimento del independentismo, En Comú Podem ha captado el voto útil del soberanismo sin que haya pagado lo más mínimo su indefinición sobre qué votarían en un referéndum. Domènech no ocultó que siete millones de electores en toda España votaron a favor de la consulta. El primer mapa electoral arroja que En Comú Podem ganó anoche en Barcelona y el área metropolitana confirmando la hipótesis con la que siempre trabajaron los estrategas de la candidatura: que los resultados de Ciudadanos el 27-S estaban inflados por el plebiscito. Barcelona y su primera y segunda corona, son lilas. Y un dato simbólico: Colau recupera Nou Barris donde Rivera ganó el 27-S y ahora es tercero. Iniciativa, uno de los miembros de En Comú Podem, logró en 2011 tres escaños, todos ellos por Barcelona, y 280.000 votos. La lista de este 20-D roza el millón."		2015-12-21
December 21, 2015 Monday  Nacional Edición	El Pais	PP: Mariano Rajoy Brey, María Soraya Sáenz de Santamaría Antón, Isabel García Tejerina, Cristóbal Ricardo Montoro Romero, Álvaro María Nadal Belda, Juan Carlos Vera Pró, José Luis Ayllón Manso, María Teresa de Lara Carbó, María Carmen Álvarez-Arenas Cisneros, Teófilo de Luis Rodríguez, María Luz Bajo Prieto, José Ignacio Echániz Salgado, Antonio Pablo González Terol PSOE: Pedro Sánchez Pérez-Castejón, Meritxell Batet Lamaña, Antonio Hernando Vera, Irene Lozano Domingo, Rafael Simancas Simancas, Zaida Cantera de Castro Ciudadanos: Albert Rivera Díaz, Francisco de la Torre Díaz, Marta Rivera de la Cruz, Miguel Angel Gutiérrez Vivas, Patricia Isaura Reyes Rivera, Fernando Maura Barandiarán, Francisco Javier Hervías Chirosa Podemos: Pablo Iglesias Turrión, Carolina Bescansa Hernández, Iñigo Errejón Galván, Irene Montero Gil, Rafael Mayoral Perales, Tania Sánchez Melero, Pablo Bustinduy Amador, Belén Guerra Mansito Senadores: 420152011Esc.Votos%Esc.Votos%PP131.179.11633,41191.708.57250,84PSOE6631.70917,9010875.04426,03Ciudadanos7663.34318,80---Podemos8736.93920,88---IU-UPeC2185.6095,263270.2238,04UPyD-42.2441,204346.12210,29IU-UPeC: Izquierda Unida, Unidad Popular en Común.DIPUTADOS ELECTOSSENADORES ELECTOSPP: Carlos Aragonés Mendiguchía Senadores: 420152011Esc.Votos%Esc.Votos%PP131.179.11633,41191.708.57250,84PSOE6631.70917,9010875.04426,03Ciudadanos7663.34318,80---Podemos8736.93920,88---IU-UPeC2185.6095,263270.2238,04UPyD-42.2441,204346.12210,29IU-UPeC: Izquierda Unida, Unidad Popular en Común.DIPUTADOS ELECTOSSENADORES ELECTOSPP: Carlos Aragonés Mendiguchía		2015-12-21
December 21, 2015 Monday  Nacional Edición	El Pais	La presencia de los líderes del PSOE, Pedro Sánchez; Ciudadanos, Albert Rivera; Podemos, Pablo Iglesias, y Unidad Popular, Alberto Garzón, en la terraza del Círculo de Bellas de Madrid fue todo un símbolo. Faltaban 40 minutos para el cierre de los colegios electorales y los cuatro candidatos comparecían en una entrevista con Pepa Bueno que sirvió como aperitivo del especial de la cadena SER y del programa de televisión que EL PAÍS emitió en su página web bajo el título Noche electoral 20D, un formato pionero que fue seguido en más de 150 países.  Tras una intensa campaña, en la que no faltaron los dardos propios del fragor de la contienda, los cuatro líderes coincidieron en el diagnóstico: el de ayer fue un día histórico. El ambiente entre Sánchez, Rivera, Iglesias y Garzón era extremadamente amigable en ese encuentro. Los candidatos se dirigieron después a toda velocidad a sus respectivos cuarteles generales para vivir una noche electoral en la que los cuatro debutaban como cabeza de cartel en unos comicios generales. Histórica fue también la emisión de EL PAÍS. Por primera vez en sus casi 40 años de vida el diario abordó una cobertura televisiva con entrevistas, reportajes, conexiones en directo y mesas de debate en las que participaron analistas políticos, votantes, periodistas y representantes de los partidos. El especial Noche electoral 20D logró casi dos millones de reproducciones. Usuarios de más de 150 países se conectaron a la web de EL PAÍS, lo que reforzó su liderazgo mundial en español. El seguimiento que realizaron de los artículos superó el millón de páginas vistas a la hora y 19 millones a lo largo de toda la jornada. En cuanto a las audiencias digitales de vídeo, el resultado final de la cobertura ofrecida por EL PAÍS, sobrepasó la emisión del debate del 30 de noviembre, con más de un millón y medio de reproducciones. El monográfico dedicado al 20-D se emitió desde el plató de EL PAÍS ubicado en la sede del diario, e incluyó conexiones con otro set instalado en el Círculo de Bellas Artes, en el que se congregaron personalidades del mundo de la política, la economía, la cultura y el periodismo. Desde las 19.00 y durante más de cinco horas, Carlos de Vega condujo un programa en el que los expertos desgraban los datos los sondeos elaborados a pie de urna, el arranque del escrutinio, el reparto de escaños y las valoraciones de los líderes. También alzaban su voz jóvenes votantes de PP, PSOE, Podemos y Ciudadanos, que acudían por primera vez a la cita con las urnas en unos comicios legislativos. Dirigentes de los partidos hacían una lectura de urgencia del recuento de papeletas. Con resultados aún provisionales, la diputada de la Asamblea de Madrid por el PP Isabel Díaz Ayuso se felicitaba por la victoria de su partido. Mientras tanto, los invitados congregados en el Círculo, entre los que se encontraban los escritores Luis G. Martín, Rosa Montero y Manuel Vicent, la cantante Rozalén, el periodista Josep Ramoneda y el sociólogo Fernando Vallespín, comentaban la composición del nuevo Parlamento y hacían cábalas sobre los pactos. Además de la información, hubo también espacio para la música. Víctor Manuel adaptó el tema Desde el Pirulí se ve un país a la coyuntura política.		2015-12-21
December 21, 2015 Monday  Andalucía Edición	El Pais	La ventaja de las elecciones del 20-D respecto a las anteriores consiste en que no ha sido necesario convalecer después de votar. Y entiendo por convalecer la somatización que suponía personarse en las urnas contra natura, haciéndolo no por convencimiento sino por exclusión o por desesperación, tantas veces a expensas de las convicciones ideológicas e introduciendo la papeleta con el pulso tembloroso.  El padre de un amigo mío, por ejemplo, convaleció después de votar a Rajoy. Convaleció porque siempre había sido leal al PSOE, pero le pareció que semejante compromiso no podía prolongarse ni al Zapatero bis ni al enroque de Rubalcaba. Estuvo en cama un par de días. Y no creo que vaya a estarlo los próximos, por mucho que le proporcione vértigo esta incertidumbre de los pactos y este funeral del bipartidismo al que asistimos con lagrimones impostados de plañideras. Ha sido un batacazo del PP, un retroceso de la derecha y una victoria de la izquierda en su heterogeneidad, tanto por el resultado digno de Pedro Sánchez -mucho mejor del que esperaban sus detractores del PSOE y propicio a ilusionarle con el trono de la Moncloa- como por la pujanza de Podemos, cuya victoria es la evidencia más clara y rotunda que trasladan estas elecciones. De la nada a casi todo, Iglesias ha demostrado acertar con el punto de inflexión de la campaña: se trataba de sonreír, no de morder. Consistía la estrategia en apelar a las emociones, a la ilusión gandhiana de un cambio purificador, pero más hábil y determinante ha sido la posición de Pablo Iglesias como Poseidón, navegando entre las mareas políticas como un condotiero que ha cuestionado la hegemonía nacionalista del País Vasco, Cataluña y Galicia, más allá de haber echado sus reales en Madrid en un órdago a La Moncloa. Tanto los ha echado que el veredicto de las urnas recuerda al que se produjo en las municipales de la capital. Un triunfo estéril del PP, más el imperativo de evacuar a Esperanza Aguirre, como ahora pueda serlo el imperativo de evacuar a Rajoy, cuya victoria numérica carece de valor político si no puede gobernar. El planteamiento extremo le exige puntos de apoyo. Y carece de ellos. No ya porque Albert Rivera haya prohibido cualquier terapia de reanimación a Rajoy, sino porque el resultado de Ciudadanos representa una decepción asombrosa, mayúscula, en su ambición de alternativa, hasta el extremo de que la pasividad de los conservadores en estos comicios -muchos votantes del PP y de Ciudadanos se han quedado en casa- impone un escarmiento a la mitología del centro.		2015-12-21
December 21, 2015 Monday  Andalucía Edición	El Pais	España dio ayer un vuelco a su sistema de partidos políticos como no se ha producido otro desde 1982, el año en que vivimos el hundimiento total del partido gobernante (UCD) y la primera mayoría absoluta del PSOE. La dimensión del cambio actual no es tan grande como la de aquel, pero sí suficiente como para que se compruebe que hay vida más allá del anterior sistema del bipartidismo imperfecto. Por inmutable que haya parecido en la vida pública española, ahora hay dos partidos emergentes, Podemos y Ciudadanos, convertidos en potentes minorías parlamentarias partiendo de cero.  Hay que echar la vista atrás para entender el porqué de tan importante cambio. En las elecciones generales de 2008, celebradas justo al inicio de la gran crisis económica, los dos principales partidos, PSOE y PP, concentraron el 84% de los sufragios y el 92% de los escaños del Congreso. Tamaña acumulación de fuerzas no sirvió para proteger a los españoles de las brutales consecuencias de la crisis económica que se desencadenó inmediatamente después. Al contrario, el entonces presidente del Gobierno y líder socialista, José Luis Rodríguez Zapatero, desmintiéndose a sí mismo, dio un volantazo a su política en 2010, iniciando una cura de austeridad en la economía española bajo la presión de las autoridades europeas. El pacto PSOE-PP de 2011 para reformar un punto de la Constitución terminó de plasmar la idea del bipartidismo como si fuera una coalición vergonzante, en vez de verse como lo que realmente es: un sistema en el que siempre hay un partido preparado para relevar al que resulta despedido por los electores. En medio de esas decepciones se desarrollaron tanto el movimiento de los indignados del 15-M como un último intento pendular del electorado, que todavía hizo otro ejercicio voluntarista al conceder mucho poder a un solo partido, el PP, en los comicios generales de 2011. Esto es lo que se ha acabado. Se ha pinchado la burbuja de un partido muy fuerte del que se espera que lo arregle todo, dando origen así al multipartidismo. El viraje de Podemos hacia la socialdemocracia era la única forma de contar entre los principales operadores del sistema constitucional, y las urnas le han sido propicias. Podemos aportó un revulsivo, al que se sumó Ciudadanos, que no procede de aquellas movilizaciones, pero que conecta con las exigencias de renovación. Lo que no consigue Albert Rivera es que los independentistas pierdan toda relevancia en el Congreso. Pedro Sánchez ha contenido el asalto de los emergentes, si bien las divisiones internas del PSOE y las dudas respecto a pelear claramente o no en el terreno de la izquierda han contribuido a abrir un bulevar a Iglesias. El PSOE se encuentra ahora zafándose del codo a codo intentado por un partido que va a por sus votantes y que en parte los ha conseguido. Le ha faltado consolidar mejor un proyecto autónomo frente a un duro competidor.		2015-12-21
December 21, 2015 Monday  Nacional Edición	El Pais	Hemos llegado a una situación inédita en España. Eso en sí no es ni bueno ni malo, pero sí muy interesante para cualquiera que disfrute mirando la política. Y se trata de la posibilidad de que dos o más formaciones acuerden o bien montar Gobiernos conjuntos, o bien llegar a pactos de legislatura que den estabilidad parlamentaria.  Bueno, el experimento sí se ha dado en Gobiernos autónomos, como es el caso de Euskadi o el de Cataluña, este último con todas las variantes posibles menos la de nacionalistas-no nacionalistas, que allí mezclan como el agua y el aceite. Pero hoy dejaremos este turbio asunto para entrar en otra carnicería distinta. Consiste en buscar los acuerdos posibles entre fuerzas que puedan sumar votos de forma natural. Y si no tenemos la pulsión patriótica como motivo de política de largo (en teoría) nos queda volver la cara al viejo Marx y ver las cosas desde el punto de vista de las clases sociales, que en román paladino se definen en la relación que cada partido guarda con lo que antes se llamaba claramente izquierda y derecha. También, por supuesto, la colaboración entre partidos distintos que defienden los mismos intereses a largo plazo. Hay una fuerza que merece un buen estudio que es Ciudadanos. Su presidente, Albert Rivera, ha decidido en esta campaña darnos alguna pista: ha declarado que es un partido de centro y lo ha ejemplificado diciendo que puede pactar a derecha o a izquierda, es decir, con el PP o con el PSOE. Eso es mucho informar, y es de agradecer, pero nos lleva a pensar que se trata de una formación de derechas cuyo talante suavizaría las asperezas de un PP autoritario y la falta de modales en el trato con reglamentos mínimos de la ética, al menos de la económica. Ahora tenemos un caso concreto para exigir que, pacte con quien pacte, Ciudadanos dé un buen ejemplo de cómo hay que hacer las cosas cuando se mezclan economía y política, interés privado y público. Abengoa, una empresa por la que mataría cualquier país ahora que se ha votado combatir el cambio climático, se puede morir como Caja Madrid. Hay que meter en la cárcel a Benjumea y Sánchez, pero ¿qué hacemos con la política energética?		2015-12-21
