Date	Newspaper	Article	Valence	Date_parsed
December 16, 2015 Wednesday  2ª Ed. Barna Edición	El Pais	Emitido por una docena de cadenas nacionales y autonómicas, el debate entre Mariano Rajoy y Pedro Sánchez que organizó el lunes la Academia de Televisión, con el periodista Manuel Campo Vidal como moderador, ha sido el programa más visto del año, si se tiene en cuenta la suma de la audiencia en todos los canales que lo difundieron. Más de 9.728.000 espectadores (un 48,7% de cuota de pantalla) estuvieron pendientes de la señal televisiva que ofrecía la Academia de un cara a cara que se extendió entre las 22.00 y las 0.05.  La mayor concentración de audiencia se produjo a las 22.31, cuando 11.194.000 personas seguían la contienda, según un informe de Barlovento Comunicación a partir de datos de Kantar Media. El debate hizo que además hubiese más ciudadanos frente al televisor de lo habitual, ya que el consumo de televisión en la franja de horario de máxima audiencia fue un 7% superior a la de registrada el pasado 30 de noviembre. Pese a estos datos, la cita no ha conseguido superar anteriores cara a cara electorales en televisión. En la campaña para las elecciones generales de 2011, Mariano Rajoy y su entonces rival socialista, Alfredo Pérez Rubalcaba, confrontaron ante las cámaras el 7 de noviembre de aquel año. Emitido por 17 cadenas, el programa fue seguido por 12.005.000 espectadores. Pero el cara a cara más visto de la historia de la democracia sigue siendo el que celebraron el socialista José Luis Rodríguez Zapatero y Rajoy el 25 de febrero de 2008, que contó con una audiencia total de 13.043.000 personas sumando las 22 cadenas que difundieron la señal. Los mismos políticos mantuvieron un segundo debate una semana después que tuvo un seguimiento algo menor, pero todavía superior al de anteayer: 11.952.000 televidentes. En cuarto lugar en esta clasificación de pugnas en pantalla se encuentra la que Telecinco organizó en mayo de 1993. Los argumentos que cruzaron el socialista Felipe González, entonces presidente del Gobierno, y su oponente popular, José María Aznar, fueron escuchados por 10.526.000 personas. El cara a cara de Rajoy y Sánchez superó en audiencia total al debate a cuatro que organizó una semana antes Atresmedia. Emitido de forma simultánea por Antena 3 y La Sexta, el debate entre la vicepresidenta Soraya Sáenz de Santamaría, Sánchez y los candidatos a La Moncloa de Ciudadanos, Albert Rivera, y Podemos, Pablo Iglesias, tuvo 9.233.000 espectadores. Previamente, el debate digital que organizó EL PAÍS y en el que participaron Rivera, Sánchez e Iglesias -Rajoy declinó la invitación y este periódico rechazó que le sustituyese su número dos- fue seguido por tres millones de personas a través de Internet, televisión y radio. El programa de anteayer registró un mayor seguimiento entre los hombres, los grupos de edad más avanzada -la cuota de pantalla entre los mayores de 64 años llegó al 61,9%-, las clases altas y medias altas y las grandes ciudades de más de 500.000 habitantes. En la Red, lo vieron más de 260.000 internautas. El streaming que facilitó la Academia de Televisión fue seguido mayoritariamente a través de dispositivos móviles. También generó gran actividad en las redes sociales, con 1.674.930 comentarios durante su emisión, valores inferiores a los que logró el debate a cuatro del 7 de diciembre, que generó 2.491.539 tuits.		2015-12-16
December 16, 2015 Wednesday  2ª Ed. Madrid Edición	El Pais	Emitido por una docena de cadenas nacionales y autonómicas, el debate entre Mariano Rajoy y Pedro Sánchez que organizó el lunes la Academia de Televisión, con el periodista Manuel Campo Vidal como moderador, ha sido el programa más visto del año, si se tiene en cuenta la suma de la audiencia en todos los canales que lo difundieron. Más de 9.728.000 espectadores (un 48,7% de cuota de pantalla) estuvieron pendientes de la señal televisiva que ofrecía la Academia de un cara a cara que se extendió entre las 22.00 y las 0.05.  La mayor concentración de audiencia se produjo a las 22.31, cuando 11.194.000 personas seguían la contienda, según un informe de Barlovento Comunicación a partir de datos de Kantar Media. El debate hizo que además hubiese más ciudadanos frente al televisor de lo habitual, ya que el consumo de televisión en la franja de horario de máxima audiencia fue un 7% superior a la de registrada el pasado 30 de noviembre. Pese a estos datos, la cita no ha conseguido superar anteriores cara a cara electorales en televisión. En la campaña para las elecciones generales de 2011, Mariano Rajoy y su entonces rival socialista, Alfredo Pérez Rubalcaba, confrontaron ante las cámaras el 7 de noviembre de aquel año. Emitido por 17 cadenas, el programa fue seguido por 12.005.000 espectadores. Pero el cara a cara más visto de la historia de la democracia sigue siendo el que celebraron el socialista José Luis Rodríguez Zapatero y Rajoy el 25 de febrero de 2008, que contó con una audiencia total de 13.043.000 personas sumando las 22 cadenas que difundieron la señal. Los mismos políticos mantuvieron un segundo debate una semana después que tuvo un seguimiento algo menor, pero todavía superior al de anteayer: 11.952.000 televidentes. En cuarto lugar en esta clasificación de pugnas en pantalla se encuentra la que Telecinco organizó en mayo de 1993. Los argumentos que cruzaron el socialista Felipe González, entonces presidente del Gobierno, y su oponente popular, José María Aznar, fueron escuchados por 10.526.000 personas. El cara a cara de Rajoy y Sánchez superó en audiencia total al debate a cuatro que organizó una semana antes Atresmedia. Emitido de forma simultánea por Antena 3 y La Sexta, el debate entre la vicepresidenta Soraya Sáenz de Santamaría, Sánchez y los candidatos a La Moncloa de Ciudadanos, Albert Rivera, y Podemos, Pablo Iglesias, tuvo 9.233.000 espectadores. Previamente, el debate digital que organizó EL PAÍS y en el que participaron Rivera, Sánchez e Iglesias -Rajoy declinó la invitación y este periódico rechazó que le sustituyese su número dos- fue seguido por tres millones de personas a través de Internet, televisión y radio. El programa de anteayer registró un mayor seguimiento entre los hombres, los grupos de edad más avanzada -la cuota de pantalla entre los mayores de 64 años llegó al 61,9%-, las clases altas y medias altas y las grandes ciudades de más de 500.000 habitantes. En la Red, lo vieron más de 260.000 internautas. El streaming que facilitó la Academia de Televisión fue seguido mayoritariamente a través de dispositivos móviles. También generó gran actividad en las redes sociales, con 1.674.930 comentarios durante su emisión, valores inferiores a los que logró el debate a cuatro del 7 de diciembre, que generó 2.491.539 tuits.		2015-12-16
December 16, 2015 Wednesday  2ª Ed. Madrid Edición	El Pais	"Unidad Popular-Izquierda Unida celebró ayer su acto central de campaña en Madrid, una de sus plazas fuertes. En un mitin celebrado en el Teatro de La Latina, el candidato Alberto Garzón pidió ""abrir la Constitución"" para ""romper con las estructuras de poder de la dictadura"". Garzón se fundió en un abrazo con Josefina Semper, viuda del histórico dirigente de CC OO Marcelino Camacho.  La frase pronunciada ayer por Garzón recordó a la del líder de Podemos, Pablo Iglesias, cuando decía que había que ""abrir el candado de la Constitución"", antes de que el partido emergente abandonara la defensa del proceso constituyente que ahora solo propugna IU. ""La Transición no fue una ruptura con la dictadura y las estructuras de poder del franquismo son las mismas que las de la democracia"", aseguró. ""Solo se podrán cambiar cuando se abra la Constitución"", clamó entre aplausos el candidato de UP-IU, que defendió la celebración del acto en un teatro: ""Como los Parlamentos se han convertido en teatros, los teatros se convierten en Parlamentos"", justificó. ""No es una simple crisis, es la ruptura del proceso constitucional del 78"", había dicho antes su número tres por Madrid, Enrique Santiago, abogado de la querella de Bárcenas, que también cargó contra la corrupción, de la que responsabilizó ""al bipartidismo"". ""Esos sobres han sido nuestros recortes"", criticó. La eurodiputada Marina Albiol reclamó, asimismo, ""construir una Europa que destierre para siempre al fascismo"". Garzón pidió el apoyo a los indecisos llamándoles a votar ""con el corazón y la cabeza"". ""La democracia se conquistó para poder votar por lo que uno piensa, no para que uno vote en función de lo que piensan otros"", sostuvo antes de continuar el mitin en la calle para las varias decenas que se quedaron sin poder entrar en el teatro."		2015-12-16
December 16, 2015 Wednesday  Nacional Edición	El Pais	Emitido por una docena de cadenas nacionales y autonómicas, el debate entre Mariano Rajoy y Pedro Sánchez que organizó el lunes la Academia de Televisión, con el periodista Manuel Campo Vidal como moderador, ha sido el programa más visto del año, si se tiene en cuenta la suma de la audiencia en todos los canales que lo difundieron. Más de 9.728.000 espectadores (un 48,7% de cuota de pantalla) estuvieron pendientes de la señal televisiva que ofrecía la Academia de un cara a cara que se extendió entre las 22.00 y las 0.05.  La mayor concentración de audiencia se produjo a las 22.31, cuando 11.194.000 personas seguían la contienda, según un informe de Barlovento Comunicación a partir de datos de Kantar Media. El debate hizo que además hubiese más ciudadanos frente al televisor de lo habitual, ya que el consumo de televisión en la franja de horario de máxima audiencia fue un 7% superior a la de registrada el pasado 30 de noviembre. Pese a estos datos, la cita no ha conseguido superar anteriores cara a cara electorales en televisión. En la campaña para las elecciones generales de 2011, Mariano Rajoy y su entonces rival socialista, Alfredo Pérez Rubalcaba, confrontaron ante las cámaras el 7 de noviembre de aquel año. Emitido por 17 cadenas, el programa fue seguido por 12.005.000 espectadores. Pero el cara a cara más visto de la historia de la democracia sigue siendo el que celebraron el socialista José Luis Rodríguez Zapatero y Rajoy el 25 de febrero de 2008, que contó con una audiencia total de 13.043.000 personas sumando las 22 cadenas que difundieron la señal. Los mismos políticos mantuvieron un segundo debate una semana después que tuvo un seguimiento algo menor, pero todavía superior al de anteayer: 11.952.000 televidentes. En cuarto lugar en esta clasificación de pugnas en pantalla se encuentra la que Telecinco organizó en mayo de 1993. Los argumentos que cruzaron el socialista Felipe González, entonces presidente del Gobierno, y su oponente popular, José María Aznar, fueron escuchados por 10.526.000 personas. El cara a cara de Rajoy y Sánchez superó en audiencia total al debate a cuatro que organizó una semana antes Atresmedia. Emitido de forma simultánea por Antena 3 y La Sexta, el debate entre la vicepresidenta Soraya Sáenz de Santamaría, Sánchez y los candidatos a La Moncloa de Ciudadanos, Albert Rivera, y Podemos, Pablo Iglesias, tuvo 9.233.000 espectadores. Previamente, el debate digital que organizó EL PAÍS y en el que participaron Rivera, Sánchez e Iglesias -Rajoy declinó la invitación y este periódico rechazó que le sustituyese su número dos- fue seguido por tres millones de personas a través de Internet, televisión y radio. El programa de anteayer registró un mayor seguimiento entre los hombres, los grupos de edad más avanzada -la cuota de pantalla entre los mayores de 64 años llegó al 61,9%-, las clases altas y medias altas y las grandes ciudades de más de 500.000 habitantes. En la Red, lo vieron más de 260.000 internautas. El streaming que facilitó la Academia de Televisión fue seguido mayoritariamente a través de dispositivos móviles. También generó gran actividad en las redes sociales, con 1.674.930 comentarios durante su emisión, valores inferiores a los que logró el debate a cuatro del 7 de diciembre, que generó 2.491.539 tuits.		2015-12-16
December 16, 2015 Wednesday  Nacional Edición	El Pais	"Unidad Popular-Izquierda Unida celebró ayer su acto central de campaña en Madrid, una de sus plazas fuertes. En un mitin celebrado en el Teatro de La Latina, el candidato Alberto Garzón pidió ""abrir la Constitución"" para ""romper con las estructuras de poder de la dictadura"". Garzón se fundió en un abrazo con Josefina Semper, viuda del histórico dirigente de CC OO Marcelino Camacho.  La frase pronunciada ayer por Garzón recordó a la del líder de Podemos, Pablo Iglesias, cuando decía que había que ""abrir el candado de la Constitución"", antes de que el partido emergente abandonara la defensa del proceso constituyente que ahora solo propugna IU. ""La Transición no fue una ruptura con la dictadura y las estructuras de poder del franquismo son las mismas que las de la democracia"", aseguró. ""Solo se podrán cambiar cuando se abra la Constitución"", clamó entre aplausos el candidato de UP-IU, que defendió la celebración del acto en un teatro: ""Como los Parlamentos se han convertido en teatros, los teatros se convierten en Parlamentos"", justificó. ""No es una simple crisis, es la ruptura del proceso constitucional del 78"", había dicho antes su número tres por Madrid, Enrique Santiago, abogado de la querella de Bárcenas, que también cargó contra la corrupción, de la que responsabilizó ""al bipartidismo"". ""Esos sobres han sido nuestros recortes"", criticó. La eurodiputada Marina Albiol reclamó, asimismo, ""construir una Europa que destierre para siempre al fascismo"". Garzón pidió el apoyo a los indecisos llamándoles a votar ""con el corazón y la cabeza"". ""La democracia se conquistó para poder votar por lo que uno piensa, no para que uno vote en función de lo que piensan otros"", sostuvo antes de continuar el mitin en la calle para las varias decenas que se quedaron sin poder entrar en el teatro."		2015-12-16
December 16, 2015 Wednesday  Comunidad Valenciana Edición	El Pais	Son equipos que no superan la docena de personas para que puedan ser operativos. Se reúnen cada mañana para destripar lo que dicen los medios de comunicación, analizar el reflejo de la actividad del día anterior de su candidato y emitir mensajes para la jornada en forma de lo que se conoce como argumentarios. Son los equipos de campaña de cada uno de los candidatos, los asesores que elaboran las fichas con los discursos y modulan las estrategias. Son los que hablan al oído a los líderes y los que hacen que todos los candidatos en toda España repitan las mismas consignas contenidas en esos argumentarios. Necesitan capacidad de análisis, intuición, ser ejecutivos en la toma de decisiones y, sobre todo, discretos, porque la mejor estrategia es la que no se cuenta. Por ejemplo, un destacado miembro del equipo del PP explica que en la sede se recuerda como algo que no se debe repetir nunca más lo que ocurrió en 2008 cuando el Financial Times publicó la estrategia del partido para la campaña y se destripó, en parte, todo lo previsto para desmovilizar al electorado del PSOE.  En el PP ha asumido el mando Jorge Moragas. Desde que fue nombrado jefe de campaña en verano, tiene poder casi absoluto, hasta el punto de que ha desplazado al histórico Pedro Arriola, asesor desde 1990 de José María Aznar y luego de Mariano Rajoy. Arriola aplazó a enero su jubilación prevista para septiembre, pero su papel ha disminuido notablemente en esta campaña. Tiene contacto con el candidato y le dio consejos sobre el debate, pero, significativamente, no le acompañó al cara a cara del lunes por primera vez en más de dos décadas. Moragas ha asumido todo el control: se empeñó desde julio en humanizar al candidato y se le atribuye también la idea de desdoblar intencionadamente la campaña entre Rajoy y Soraya Sáenz de Santamaría. Cada mañana preside la reunión del equipo en la sede del PP. El equipo de campaña popular presenta una particularidad sobre los del resto de partidos: es el único en el que está presente la tesorera, Carmen Navarro. A la reunión asisten los vicesecretarios, los dirigentes José Antonio Bermúdez de Castro y Juan Carlos Vera y la responsable de prensa Marilar de Andrés. Casi todos los días reciben los trackings o pequeñas encuestas y deciden qué argumentarios distribuyen a todos sus candidatos provinciales. En el PSOE alquilaron en verano un piso próximo a la sede en el que trabaja un equipo reducido de campaña, a las órdenes de César Luena, en el que el diplomático José Manuel Albares elabora fichas para el candidato y María González Veracruz, miembro de la Ejecutiva y candidata por Murcia, coordina a los responsables de redes sociales. En la sede del partido, en la madrileña calle de Ferraz, se reúne cada día, entre las 9.00 y 9.30 un equipo formado por Luena; Óscar López, responsable de debates; Juan Manuel Serrano, jefe de Gabinete de Pedro Sánchez; el veterano dirigente y exconsejero de Interior vasco, Rodolfo Ares; Juan Manuel Ferreira, responsable de cartelería y movilización; María González Veracruz; Adriana Lastra, responsable de política municipal y movilización juvenil; Verónica Fumaral, jefa de comunicación del candidato; Rafael Simancas, responsable de argumentarios y Maricha Ruiz, jefa de prensa del partido. El equipo se completa con asesores directos del candidato como Luis Arroyo, experto en comunicación. De esas reuniones sale cada día la instrucción para que los candidatos centren sus intervenciones públicas en un asunto concreto. Los grupos de WhatsApp o Telegram facilitan el contacto permanente o las conexiones por Skype cuando alguno de ellos hace su propia campaña en su territorio. El equipo de Podemos tiene la peculiaridad de que su gestión la llevan varios círculos con puntos en común que son itinerantes, es decir, se reúnen en donde esté la caravana de los candidatos y, en ocasiones, en las plazas del fondo del autobús en el que también viajan los periodistas que cubren la campaña. Hay tres equipos: uno en torno a Pablo Iglesias; otro para Íñigo Errejón; el general, de más de 40 personas, que incluye la organización de actos, la logística y la elaboración de los argumentarios para todos los candidatos. El directorio de campaña lo forman Irene Montero, Carolina Bescansa y Laura Casielles, responsable de prensa.		2015-12-16
December 17, 2015 Thursday  2ª Ed. Barna Edición	El Pais	"El Rey y los líderes de diferentes partidos expresaron su solidaridad e indignación ante la agresión sufrida ayer por el presidente del Gobierno y candidato del PP, Mariano Rajoy, en Pontevedra. Algunos dirigentes utilizaron las redes sociales para condenar el incidente protagonizado por un joven de 17 años. Felipe VI contactó con el líder del PP para interesarse por su estado. El presidente en funciones de la Generalitat, Artur Mas, reprobó el incidente pese a no tener ""amistad ni afinidad"" con Rajoy, al que acusó de querer meterle en la cárcel. El secretario general del PSOE, Pedro Sánchez, expresó su indignación y llamó al presidente del Ejecutivo nada más terminar su mitin en Murcia. No pudo hablar con él, pero le dejó un mensaje de voz para transmitirle su respaldo: ""En nombre de todos los socialistas y el mío propio, le traslado mi solidaridad y condenamos la agresión"".  Desde Sabadell (Barcelona), el expresidente del Gobierno José Luis Rodríguez Zapatero se sumó a la cadena de mensajes contra la violencia. ""Quiero condenarla y la condenamos todos, como si fuera una agresión a nosotros mismos"", declaró. ""Que cuente con nuestro apoyo y solidaridad"". Lo hizo ante casi 600 personas en un mitin junto a la candidata y exministra Carme Chacón. ""Mi condena y la de los socialistas a la agresión sufrida por Rajoy en Pontevedra"", escribió esta en su cuenta en Twitter. La formación de Albert Rivera escribió ""al Gabinete y a Rajoy"" para interesarse por su estado. ""La violencia no tiene cabida en democracia"", expresó Fernando de Páramo, secretario de Comunicación de Ciudadanos. Rivera declaró: ""Hemos conocido poco antes de comenzar el mitin de esta tarde [por ayer] que parece que han agredido al candidato del Partido Popular y quería aprovechar para condenar el ataque y contarles que le he mandado un mensaje para darle ánimos y para desearle que se recupere si ha sufrido daños. Me ha contestado a los pocos minutos y me ha dicho que estaba bien y que muchas gracias"". ""No hay ninguna justificación para ningún tipo de violencia contra nadie. Como si me lo hubieran hecho a mí, en esto estamos todos juntos"", apostilló. El líder de Podemos, Pablo Iglesias, escribió un mensaje a Rajoy para interesarse por su estado, que el presidente contestó después. El secretario general de la formación en Aragón, Pablo Echenique, calificó en un tuit al atacante de ""miserable sin paliativos"". Andrés Herzog, líder y candidato de UPyD, también expresó su ""total condena"" al hecho. ""Nada puede justificar la violencia"", señaló. Antes de comenzar su intervención en un acto público en Sevilla, Alberto Garzón, candidato a la presidencia por Unidad Popular-IU, remitió un escrito a Rajoy para mostrarle su solidaridad e interesarse por su estado. El líder de la federación rechazó ""tajantemente"" actuaciones de este tipo con ningún candidato. El presidente de la Generalitat en funciones, Artur Mas, declaró: ""Condeno rotundamente cualquier agresión verbal o física a cualquier persona aunque esta esté en las antípodas de cualquiera de nosotros"". En un mitin de Democràcia i Llibertat en Tarragona, Mas recalcó su condena a la agresión a Rajoy pese a no tener ""amistad ni afinidad"" con él tras el enfrentamiento mutuo abierto por el proceso soberanista catalán. ""La violencia nunca es el camino. Mi firme condena a la agresión a Rajoy"", escribió Carme Forcadell, presidenta del Parlament, también en su cuenta de Twiter."		2015-12-17
December 17, 2015 Thursday  1ª Ed. Barna Edición	El Pais	"En Comú Podem celebró ayer en la plaza mayor de Nou Barris su último gran mitin en Barcelona con la convicción de que puede ganar en Cataluña y de que está en condiciones de disputarle la victoria al PP. Bajo el grito remontada, exhibido con unas letras gigantes, Xavier Domènech pidió el voto de la izquierda que aspira al cambio real y del 80% de los soberanistas, incluidos los ""socialistas de corazón traicionados"" para la única lista que hará posible ""el referéndum"". ""Esta es vuestra casa"", remachó. Ada Colau dijo que la suya es la única lista que tiene un aliado en España, con Pablo Iglesias a la cabeza, que puede dar respuesta a la reivindicación de Cataluña.  No fue gratuito que el escenario fuera Nou Barris, el distrito mimado de Colau, que la catapultó a la victoria y que la traicionó el 27-S a favor de Ciutadans. En Comú Podem cree que eso fue una anomalía por el plebiscito, pero aún así Colau avisó del riesgo de que el mapa sea otra vez ""naranja"" y no ""en comú"". La candidatura ayer exhibió músculo. Impasibles al frío, 3.000 personas escucharon a Colau, Mónica Oltra, vicepresidenta del Gobierno valenciano, Iñigo Errejón, el activista inglés Owen Jones, o al alcalde de A Coruña, Xulio Ferreiro. El acto sirvió para constatar que las medidas del alcalde Ferreiro contra la pobreza energética o la retirada de nombres franquistas en las calles llevan la misma música que las de Barcelona. El mitin visualizó la defensa de la idea de España como ""nación de naciones"" y el tejido construido por las distintas mareas. ""Ha sido el peor Gobierno en décadas. Y eso que hemos tenido a Aznar"", exclamó Oltra en medio del alborozo. ""Rajoy y Rato son lo mismo y hay que recordárselo a la gente"", añadió Oltra, que pidió no olvidar la reforma laboral, la ley Wert o las tarjetas black. ""Estamos en plena remontada"", aseguró, en catalán, Errejón, que definió las políticas del PP como ""un golpe de Estado pequeñito y silencioso"". Colau fue esta vez prudente y mostró su estupor por las críticas que ha recibido por decir que quería que Madrid volviera a ser la capital de los catalanes. ""Voy a Madrid con Iñigo y Pablo, 12.000 personas gritan Visca Catalunya, dan la cara por el derecho a decidir y hay soberanistas que se ponen nerviosos"", dijo tras señalar que pedirá a Podemos si gobierna que agilice ya las obras de La Sagrera."		2015-12-17
December 17, 2015 Thursday  1ª Ed. Barna Edición	El Pais	"Ada Colau volvió ayer al lugar donde se bautizó como mitinera. Fue en la plaza Major de Nou Barris, el 9 de mayo, cuando empezó a hablar por primera vez ante miles de personas pero sin dejarse soltar, acongojada, hasta que Pablo Iglesias se le acercó por detrás y le dijo ""Ada, habla más fuerte"". Desde entonces, el discurso de la alcaldesa fue subiendo de tono.  En un arranque de motivación Red Bull, Janet Sanz insistió que ""este final de campaña es apasionante"". El mitin se organizó a partir de la idea de la pluralidad nacional. Una vicepresidenta valenciana, un cantautor madrileño y un alcalde gallego, Xulio Ferreiro, una suerte de Gabriel Rufián de la remontada. Ferreiro recitó una arenga poética en la que declamó versos tales como: ""Somos la gente real [¿en los otros partidos son reptilianos?]""; ""Somos la gente apaleada en la plaza Cataluña""; ""Somos la marea que no vieron en las previsiones del tiempo"". El mensaje más rufianesco de Ferreiro fue: ""somos lo imposible que hace realidad el milagro"". El público de En Comú Podem es probablemente el más diverso de la campaña. Hay modernos del Heliogábal, abuelas con bolsas del Dia, ecosocialistas en la sombra, vecinos con perro, ciclistas y muchos inmigrantes. Ayer también estaba el Círculo Guaperas de Podemos, una corte de jovenzuelos rubios y de elegancia casual, muy Club de los Poetas Muertos, que se presentó con el activista británico Owen Jones. Incluso Manu Simarro, coordinador de la alcaldía de Barcelona, conocido por ir a trabajar incluso en bermudas, vestía americana. Íñigo Errejón realizó la mitad del discurso en un excelente catalán y con un mensaje más sereno que el del rapsoda Ferreiro. Errejón acabó al límite del fuera de juego con la ley electoral al citar las encuestas de El Periòdic d'Andorra. Mònica Oltra le relevó en el escenario con una intervención entre la Vicenteta de TV-3 y Los payasos de la tele: ""¿Cómo estáis? ¿Os lo estáis pasando bien? ¡Claro que sí! ¡Ole, ole, ole!"". Xavier Domènech mejoró en empuje oratorio pero tuvo su momento un plato es un plato: ""No tenemos que ganar porque queramos ganar, sino porque este país necesita que ganemos"". La lideresa Colau clausuró el evento insistiendo en justificar sus palabras sobre la capitalidad de Madrid. Con tanta insistencia para rectificar parece que lo que dijo, molestó más a ella misma que al nacionalismo catalán."		2015-12-17
December 17, 2015 Thursday  Andalucía Edición	El Pais	"El Rey y los líderes de diferentes partidos expresaron su solidaridad e indignación ante la agresión sufrida ayer por el presidente del Gobierno y candidato del PP, Mariano Rajoy, en Pontevedra. Algunos dirigentes utilizaron las redes sociales para condenar el incidente protagonizado por un joven de 17 años. Felipe VI contactó con el líder del PP para interesarse por su estado. El presidente en funciones de la Generalitat, Artur Mas, reprobó el incidente pese a no tener ""amistad ni afinidad"" con Rajoy, al que acusó de querer meterle en la cárcel. El secretario general del PSOE, Pedro Sánchez, expresó su indignación y llamó al presidente del Ejecutivo nada más terminar su mitin en Murcia. No pudo hablar con él, pero le dejó un mensaje de voz para transmitirle su respaldo. ""En nombre de todos los socialistas y el mío propio, le traslado mi solidaridad y condenamos la agresión"", afirmó.  Desde Sabadell (Barcelona), el expresidente del Gobierno José Luis Rodríguez Zapatero se sumó a la cadena de mensajes contra la violencia. ""Quiero condenarla y la condenamos todos, como si fuera una agresión a nosotros mismos"", declaró. ""Que cuente con nuestro apoyo y solidaridad"", añadió el exmandatario. Lo hizo ante casi 600 personas en un acto electoral de los socialistas, celebrado junto a la candidata Carme Chacón, exministra en dos Gobiernos del PSOE. ""Mi condena y la de los socialistas a la agresión sufrida por Rajoy en Pontevedra"", escribió Chacón en su cuenta en Twitter. La formación de Albert Rivera escribió ""al Gabinete y a Rajoy"" para interesarse por su estado. ""La violencia no tiene cabida en democracia"", expresó Fernando de Páramo, secretario de Comunicación de Ciudadanos. El líder de Ciudadanos declaró: ""Hemos conocido poco antes de comenzar el mitin de esta tarde [por ayer] que parece que han agredido al candidato del Partido Popular y quería aprovechar para condenar el ataque y contarles que le he mandado un mensaje para darle ánimos y para desearle que se recupere si ha sufrido daños. Me ha contestado a los pocos minutos y me ha dicho que estaba bien y que muchas gracias"". ""No hay ninguna justificación para ningún tipo de violencia contra nadie. Como si me lo hubieran hecho a mí, en esto estamos todos juntos"", añadió. Rivera concluyó: ""No puede haber gente que piense que por muy mal que haga alguien las cosas, que por estar en política te puedan agredir. La violencia nunca es la solución y desde luego estoy con Mariano Rajoy en esto tanto como si se lo hubieran hecho a un compañero mío"". El dirigente de Podemos, Pablo Iglesias, escribió un mensaje a Rajoy para interesarse por su estado, que el presidente contestó. Andrés Herzog, líder de UPyD, también expresó su ""total condena"" a la agresión porque ""nada puede justificar la violencia"". Antes de comenzar su intervención en un acto público en Sevilla, Alberto Garzón, candidato a la presidencia por IU, remitió un escrito a Rajoy para mostrarle su solidaridad e interesarse por su estado. El líder de la federación rechazó ""tajantemente"" que se puedan producir actuaciones de este tipo hacia ningún candidato. El presidente de la Generalitat en funciones, Artur Mas, declaró: ""Condeno rotundamente cualquier agresión verbal o física a cualquier persona aunque esta esté en las antípodas de cualquiera de nosotros"". En un mitin de Democràcia i Llibertat en Tarragona, Mas recalcó su condena a la agresión a Rajoy pese a no tener ""amistad ni afinidad"", ya que acusó al presidente del Gobierno de instar las querellas por el 9-N que persiguen su inhabilitación e incluso que acabe en la cárcel. ""La violencia nunca es el camino. Mi firme condena a la agresión a Rajoy"", escribió Carme Forcadell, presidenta del Parlament, en su cuenta de Twiter."		2015-12-17
