fixonset	cueonset	cueoffset	taronset	cueside	tarside	valid	soa	target	response	correct	RT
5204.14784111	6704.14784111	6754.14784111	7604.14784111	right	right	1	900	E	E	1	637.880943942
9242.02878505	10742.0287851	10792.0287851	11642.0287851	left	right	0	900	E	E	1	455.649520331
13097.6783054	14597.6783054	14647.6783054	14697.6783054	left	right	0	100	E	E	1	606.091203818
16303.7695092	17803.7695092	17853.7695092	17903.7695092	left	left	1	100	E	E	1	508.699524174
19412.4690334	20912.4690334	20962.4690334	21812.4690334	right	left	0	900	E	E	1	454.314788122
23266.7838215	24766.7838215	24816.7838215	24866.7838215	left	right	0	100	F	F	1	650.057911853
26516.8417334	28016.8417334	28066.8417334	28116.8417334	right	left	0	100	E	E	1	550.107723209
29666.9494566	31166.9494566	31216.9494566	31266.9494566	right	right	1	100	E	E	1	567.863852359
32834.8133089	34334.8133089	34384.8133089	35234.8133089	right	left	0	900	F	F	1	509.807340404
36744.6206493	38244.6206493	38294.6206493	38344.6206493	left	right	0	100	F	E	0	645.447768628
39990.068418	41490.068418	41540.068418	42390.068418	left	left	1	900	E	E	1	602.681081874
43992.7494998	45492.7494998	45542.7494998	45592.7494998	right	left	0	100	F	F	1	643.726961723
47236.4764615	48736.4764615	48786.4764615	49636.4764615	left	left	1	900	F	F	1	654.95712474
51291.4335863	52791.4335863	52841.4335863	52891.4335863	right	right	1	100	E	E	1	553.833771281
54445.2673576	55945.2673576	55995.2673576	56045.2673576	left	left	1	100	E	E	1	514.265235274
57559.5325928	59059.5325928	59109.5325928	59159.5325928	right	left	0	100	F	F	1	561.699606062
60721.2321989	62221.2321989	62271.2321989	62321.2321989	right	left	0	100	F	E	0	548.567771157
63869.7999701	65369.7999701	65419.7999701	66269.7999701	left	right	0	900	F	F	1	608.469988268
67878.2699583	69378.2699583	69428.2699583	69478.2699583	left	left	1	100	E	E	1	504.18093405
70982.4508924	72482.4508924	72532.4508924	72582.4508924	left	right	0	100	E	E	1	572.199933605
74154.650826	75654.650826	75704.650826	76554.650826	right	right	1	900	F	F	1	541.577798672
78096.2286247	79596.2286247	79646.2286247	80496.2286247	left	right	0	900	E	E	1	560.130639552
82056.3592642	83556.3592642	83606.3592642	84456.3592642	right	right	1	900	F	F	1	629.945419107
86086.3046833	87586.3046833	87636.3046833	88486.3046833	right	right	1	900	E	E	1	696.964428281
90183.2691116	91683.2691116	91733.2691116	91783.2691116	left	left	1	100	E	E	1	628.528030428
93411.797142	94911.797142	94961.797142	95011.797142	left	right	0	100	F	E	0	553.978697776
96565.7758398	98065.7758398	98115.7758398	98965.7758398	right	left	0	900	F	F	1	435.087045877
100400.862886	101900.862886	101950.862886	102800.862886	left	right	0	900	F	F	1	576.468252591
104377.331138	105877.331138	105927.331138	105977.331138	right	right	1	100	E	E	1	553.159819157
107530.490957	109030.490957	109080.490957	109130.490957	left	right	0	100	E	E	1	638.037644797
110768.528602	112268.528602	112318.528602	112368.528602	left	right	0	100	F	F	1	629.118250194
113997.646852	115497.646852	115547.646852	115597.646852	right	right	1	100	F	F	1	510.961534703
117108.608387	118608.608387	118658.608387	118708.608387	left	right	0	100	E	E	1	687.176861455
120395.785249	121895.785249	121945.785249	121995.785249	left	right	0	100	F	F	1	687.763718907
123683.548967	125183.548967	125233.548967	125283.548967	right	right	1	100	F	F	1	599.568508862
126883.117476	128383.117476	128433.117476	129283.117476	left	left	1	900	E	E	1	617.106744415
130900.224221	132400.224221	132450.224221	133300.224221	left	left	1	900	F	F	1	578.479846273
134878.704067	136378.704067	136428.704067	136478.704067	right	right	1	100	F	F	1	603.633134591
138082.337202	139582.337202	139632.337202	139682.337202	right	right	1	100	E	E	1	592.971161098
141275.308363	142775.308363	142825.308363	143675.308363	right	left	0	900	E	E	1	666.632643108
145341.941006	146841.941006	146891.941006	147741.941006	right	right	1	900	F	F	1	620.876465719
149362.817472	150862.817472	150912.817472	150962.817472	left	right	0	100	E	E	1	553.542775335
152516.360247	154016.360247	154066.360247	154116.360247	left	left	1	100	E	E	1	540.377214221
155656.737461	157156.737461	157206.737461	158056.737461	left	left	1	900	F	F	1	657.970442437
159714.707904	161214.707904	161264.707904	161314.707904	left	right	0	100	F	F	1	602.316863299
162917.024767	164417.024767	164467.024767	164517.024767	left	right	0	100	E	E	1	648.470294841
166165.495062	167665.495062	167715.495062	167765.495062	right	right	1	100	E	E	1	514.875386634
169280.370448	170780.370448	170830.370448	171680.370448	right	left	0	900	E	E	1	579.607504824
173259.977953	174759.977953	174809.977953	174859.977953	left	right	0	100	E	E	1	667.980736153
176527.958689	178027.958689	178077.958689	178127.958689	left	left	1	100	F	F	1	519.331350237
179647.29004	181147.29004	181197.29004	182047.29004	left	left	1	900	F	F	1	740.402013607
183787.692053	185287.692053	185337.692053	185387.692053	left	left	1	100	F	F	1	543.257566663
186930.94962	188430.94962	188480.94962	188530.94962	right	right	1	100	E	E	1	545.606255118
190076.555875	191576.555875	191626.555875	192476.555875	left	right	0	900	E	E	1	499.21090559
193975.766781	195475.766781	195525.766781	196375.766781	right	right	1	900	F	F	1	574.560552303
197950.327333	199450.327333	199500.327333	199550.327333	right	left	0	100	E	E	1	564.408190852
201114.735524	202614.735524	202664.735524	203514.735524	right	left	0	900	F	F	1	551.960166015
205066.69569	206566.69569	206616.69569	206666.69569	right	right	1	100	E	E	1	498.141402808
208164.837092	209664.837092	209714.837092	209764.837092	left	right	0	100	F	F	1	653.042726117
211417.879819	212917.879819	212967.879819	213817.879819	right	left	0	900	E	E	1	619.990242734
215437.870061	216937.870061	216987.870061	217837.870061	left	right	0	900	E	E	1	451.853643947
219289.723705	220789.723705	220839.723705	220889.723705	left	right	0	100	F	F	1	602.043244506
222491.76695	223991.76695	224041.76695	224091.76695	left	left	1	100	E	E	1	499.16965218
225590.936602	227090.936602	227140.936602	227990.936602	right	right	1	900	E	E	1	529.015631894
229519.952234	231019.952234	231069.952234	231919.952234	left	left	1	900	E	E	1	672.725764031
233592.677998	235092.677998	235142.677998	235992.677998	right	left	0	900	E	E	1	557.322500335
